.flit_bit
72
.local_place
1 1            
.request
1 0 1 0 1 2
2 1 1 0 1 2
3 2 1 0 1 2
4 3 1 0 1 2
5 0 1 2 1 0
6 1 1 2 1 0
7 2 1 2 1 0
8 0 2 1 0 1
9 1 2 1 0 1
10 0 0 1 2 1
11 5 1 0 1 2
12 6 1 0 1 2
13 7 1 0 1 2
14 5 0 1 2 1
15 6 0 1 2 1
16 9 1 0 1 2
17 10 1 0 1 2
18 11 1 0 1 2
19 12 1 0 1 2
20 13 1 0 1 2
21 14 1 0 1 2
22 15 1 0 1 2
23 16 1 0 1 2
24 17 1 0 1 2
25 18 1 0 1 2
26 19 1 0 1 2
27 20 1 0 1 2
28 21 1 0 1 2
29 22 1 0 1 2
30 19 1 2 1 0
31 20 1 2 1 0
32 21 1 2 1 0
33 22 1 2 1 0
34 19 0 1 2 1
35 20 0 1 2 1
36 21 0 1 2 1
37 22 0 1 2 1
38 23 1 2 1 0
39 24 1 2 1 0
40 25 1 2 1 0
41 26 1 2 1 0
42 30 0 1 1 1
43 31 0 1 1 1
44 33 0 1 1 1
45 34 0 1 1 1 
46 27 1 2 1 0
47 28 1 2 1 0 
