.flit_bit
72
.local_place
1 1            
.request
1 0 0 0 1 1 
2 0 0 1 1 0
3 0 1 0 0 1
4 0 1 1 0 0
5 1 0 0 0 1
6 1 0 1 1 1
7 1 1 0 1 1
8 1 1 1 1 0
9 2 0 0 1 0
10 2 0 1 1 1
11 2 1 0 0 0
12 2 1 1 0 1
13 3 0 0 0 1
14 7 0 0 1 1 
15 8 0 1 1 0
16 9 1 0 0 1
17 10 1 1 0 0
18 11 0 0 0 1
19 12 0 1 1 1
20 13 1 0 1 1
21 14 1 1 1 0
22 15 0 0 1 0
23 16 0 1 1 1
24 17 1 0 0 0
25 18 1 1 0 1
26 19 0 0 0 1
27 20 0 0 1 0 
28 21 0 0 1 1
29 22 0 0 1 1
30 23 0 1 1 0
31 24 1 0 0 0
32 25 0 0 1 0  
